Região,Código da Região,Unidade da Federação,Sigla da Unidade da Federação,Código da Unidade da Federação,Município,Código do Múnicipio,Está em Uma Capital,pk_localização_geográfica
Sul,4,Santa Catarina,SC,42,Ararangu ,4201406,Não está na capital,1155
Sudeste,3,S o Paulo,SP,35,Porto Feliz,3540606,Não está na capital,1156
Norte,1,Par ,PA,15,Benevides,1501501,Não está na capital,1157
Centro-Oeste,5,Goi s,GO,52,Itapuranga,5211206,Não está na capital,1158
Sudeste,3,Minas Gerais,MG,31,Aimor s,3101102,Não está na capital,1159
Sudeste,3,Minas Gerais,MG,31,S o Jo o Nepomuceno,3162906,Não está na capital,1160
Sudeste,3,Minas Gerais,MG,31,Tr s Pontas,3169406,Não está na capital,1161
Sudeste,3,Minas Gerais,MG,31,Tim teo,3168705,Não está na capital,1162
Centro-Oeste,5,Goi s,GO,52,Senador Canedo,5220454,Não está na capital,1163
Sul,4,Paran ,PR,41,Camb ,4103701,Não está na capital,1164
Sudeste,3,S o Paulo,SP,35,Francisco Morato,3516309,Não está na capital,1165
Sudeste,3,Esp rito Santo,ES,32,S o Gabriel da Palha,3204708,Não está na capital,1166
Nordeste,2,Bahia,BA,29,Coronel Jo o S ,2909208,Não está na capital,1167
Sul,4,Paran ,PR,41,Jacarezinho,4111803,Não está na capital,1168
Norte,1,Par ,PA,15,Parauapebas,1505536,Não está na capital,1169
Nordeste,2,Cear ,CE,23,Reden  o,2311603,Não está na capital,1170
Nordeste,2,Bahia,BA,29,Irec ,2914604,Não está na capital,1171
Sudeste,3,S o Paulo,SP,35,Itaquaquecetuba,3523107,Não está na capital,1172
Sudeste,3,S o Paulo,SP,35,Cap o Bonito,3510203,Não está na capital,1173
Sudeste,3,S o Paulo,SP,35,Barueri,3505708,Não está na capital,1174
Sudeste,3,S o Paulo,SP,35,Barra Bonita,3505302,Não está na capital,1175
Nordeste,2,Cear ,CE,23,Iguatu,2305506,Não está na capital,1176
Norte,1,Par ,PA,15,Tail ndia,1507953,Não está na capital,1177
Norte,1,Par ,PA,15,Abaetetuba,1500107,Não está na capital,1178
