pk_tempo,pk_localização_geográfica,PIB da Unidade da Federação,População da Unidade da Federação
1,1240,2348338,45919049
1,1245,2348338,45919049
1,1252,2348338,45919049
1,1257,2348338,45919049
1,1258,2348338,45919049
1,1259,2348338,45919049
1,9,466377,11433957
1,10,466377,11433957
1,37,466377,11433957
1,93,466377,11433957
1,109,466377,11433957
1,111,466377,11433957
1,139,466377,11433957
1,152,466377,11433957
1,159,466377,11433957
1,183,466377,11433957
1,206,466377,11433957
1,215,466377,11433957
1,240,466377,11433957
1,245,466377,11433957
1,258,466377,11433957
1,277,466377,11433957
1,287,466377,11433957
1,288,466377,11433957
1,298,466377,11433957
1,303,466377,11433957
1,310,466377,11433957
1,320,466377,11433957
1,322,466377,11433957
1,323,466377,11433957
1,324,466377,11433957
1,336,466377,11433957
1,338,466377,11433957
1,345,466377,11433957
1,346,466377,11433957
1,347,466377,11433957
1,348,466377,11433957
1,349,466377,11433957
1,359,466377,11433957
1,364,466377,11433957
1,376,466377,11433957
1,386,466377,11433957
1,388,466377,11433957
1,389,466377,11433957
1,390,466377,11433957
1,402,466377,11433957
1,405,466377,11433957
1,422,466377,11433957
1,429,466377,11433957
1,439,466377,11433957
1,447,466377,11433957
1,472,466377,11433957
1,474,466377,11433957
1,486,466377,11433957
1,488,466377,11433957
1,501,466377,11433957
1,523,466377,11433957
1,555,466377,11433957
1,559,466377,11433957
1,592,466377,11433957
1,594,466377,11433957
1,623,466377,11433957
1,656,466377,11433957
1,679,466377,11433957
1,691,466377,11433957
1,699,466377,11433957
1,707,466377,11433957
1,709,466377,11433957
1,721,466377,11433957
1,722,466377,11433957
1,767,466377,11433957
1,776,466377,11433957
1,777,466377,11433957
1,794,466377,11433957
1,829,466377,11433957
1,836,466377,11433957
1,838,466377,11433957
1,856,466377,11433957
1,863,466377,11433957
1,868,466377,11433957
1,878,466377,11433957
1,891,466377,11433957
1,898,466377,11433957
1,916,466377,11433957
1,919,466377,11433957
1,928,466377,11433957
1,943,466377,11433957
1,950,466377,11433957
1,951,466377,11433957
1,959,466377,11433957
1,963,466377,11433957
1,968,466377,11433957
1,974,466377,11433957
1,976,466377,11433957
1,977,466377,11433957
1,978,466377,11433957
1,988,466377,11433957
1,994,466377,11433957
1,995,466377,11433957
1,996,466377,11433957
1,997,466377,11433957
1,1003,466377,11433957
1,1005,466377,11433957
1,1016,466377,11433957
1,1019,466377,11433957
1,1027,466377,11433957
1,1029,466377,11433957
1,1030,466377,11433957
1,1040,466377,11433957
1,1044,466377,11433957
1,1050,466377,11433957
1,1066,466377,11433957
1,1068,466377,11433957
1,1089,466377,11433957
1,1102,466377,11433957
1,1125,466377,11433957
1,1128,466377,11433957
1,1148,466377,11433957
1,1164,466377,11433957
1,1168,466377,11433957
1,1193,466377,11433957
1,1213,466377,11433957
1,1223,466377,11433957
1,1225,466377,11433957
1,1236,466377,11433957
1,1268,466377,11433957
1,1275,466377,11433957
1,35,323264,7164788
1,46,323264,7164788
1,49,323264,7164788
1,50,323264,7164788
1,51,323264,7164788
1,52,323264,7164788
1,54,323264,7164788
1,114,323264,7164788
1,125,323264,7164788
1,130,323264,7164788
1,158,323264,7164788
1,257,323264,7164788
1,272,323264,7164788
1,316,323264,7164788
1,378,323264,7164788
1,379,323264,7164788
1,380,323264,7164788
1,383,323264,7164788
1,392,323264,7164788
1,407,323264,7164788
1,416,323264,7164788
1,418,323264,7164788
1,491,323264,7164788
1,513,323264,7164788
1,541,323264,7164788
1,552,323264,7164788
1,556,323264,7164788
1,567,323264,7164788
1,575,323264,7164788
1,576,323264,7164788
1,584,323264,7164788
1,602,323264,7164788
1,638,323264,7164788
1,712,323264,7164788
1,718,323264,7164788
1,792,323264,7164788
1,803,323264,7164788
1,804,323264,7164788
1,845,323264,7164788
1,849,323264,7164788
1,867,323264,7164788
1,939,323264,7164788
1,1021,323264,7164788
1,1037,323264,7164788
1,1076,323264,7164788
1,1082,323264,7164788
1,1140,323264,7164788
1,1141,323264,7164788
1,1146,323264,7164788
1,1155,323264,7164788
1,12,482464,11377239
1,13,482464,11377239
1,14,482464,11377239
1,17,482464,11377239
1,19,482464,11377239
1,20,482464,11377239
1,22,482464,11377239
1,90,482464,11377239
1,91,482464,11377239
1,92,482464,11377239
1,107,482464,11377239
1,108,482464,11377239
1,115,482464,11377239
1,116,482464,11377239
1,120,482464,11377239
1,137,482464,11377239
1,149,482464,11377239
1,155,482464,11377239
1,156,482464,11377239
1,234,482464,11377239
1,263,482464,11377239
1,343,482464,11377239
1,381,482464,11377239
1,395,482464,11377239
1,399,482464,11377239
1,427,482464,11377239
1,436,482464,11377239
1,437,482464,11377239
1,461,482464,11377239
1,490,482464,11377239
1,499,482464,11377239
1,506,482464,11377239
1,512,482464,11377239
1,516,482464,11377239
1,561,482464,11377239
1,578,482464,11377239
1,593,482464,11377239
1,600,482464,11377239
1,619,482464,11377239
1,658,482464,11377239
1,704,482464,11377239
1,778,482464,11377239
1,827,482464,11377239
1,828,482464,11377239
1,854,482464,11377239
1,861,482464,11377239
1,866,482464,11377239
1,933,482464,11377239
1,1049,482464,11377239
1,1094,482464,11377239
1,1130,482464,11377239
1,1154,482464,11377239
1,104,106943,2778986
1,166,106943,2778986
1,196,106943,2778986
1,222,106943,2778986
1,223,106943,2778986
1,233,106943,2778986
1,250,106943,2778986
1,268,106943,2778986
1,269,106943,2778986
1,342,106943,2778986
1,457,106943,2778986
1,596,106943,2778986
1,663,106943,2778986
1,903,106943,2778986
1,906,106943,2778986
1,911,106943,2778986
1,922,106943,2778986
1,992,106943,2778986
1,1150,106943,2778986
1,1,142122,3484466
1,178,142122,3484466
1,197,142122,3484466
1,198,142122,3484466
1,200,142122,3484466
1,201,142122,3484466
1,202,142122,3484466
1,253,142122,3484466
1,282,142122,3484466
1,294,142122,3484466
1,295,142122,3484466
1,374,142122,3484466
1,384,142122,3484466
1,410,142122,3484466
1,412,142122,3484466
1,414,142122,3484466
1,475,142122,3484466
1,500,142122,3484466
1,667,142122,3484466
1,668,142122,3484466
1,725,142122,3484466
1,737,142122,3484466
1,741,142122,3484466
1,746,142122,3484466
1,770,142122,3484466
1,877,142122,3484466
1,887,142122,3484466
1,888,142122,3484466
1,957,142122,3484466
1,991,142122,3484466
1,1018,142122,3484466
1,1034,142122,3484466
1,1069,142122,3484466
1,1087,142122,3484466
1,1241,142122,3484466
1,1276,142122,3484466
1,36,208672,7018354
1,103,208672,7018354
1,187,208672,7018354
1,193,208672,7018354
1,194,208672,7018354
1,207,208672,7018354
1,208,208672,7018354
